7	0.553571428571429	0.0873752803407674
9	0.531645569620253	0.469536198165174
5	0.542857142857143	0.373734863712646
8	0.571428571428571	0.207712085727557
6	0.521739130434783	0.824587662910337
1 2	0.783783783783784	0.000131201928225438
7 10	0.520547945205479	0.659481689066211
7 9	0.588235294117647	0.144265656098067
8 10	0.666666666666667	0.0272003506163066
5 10	0.551020408163265	0.411048166103824
5 7	0.571428571428571	0.297583721474348
9 10	0.531914893617021	0.616854847345014
1 10	0.520833333333333	0.740543958567318
3 10	0.5	1
7 8	0.642857142857143	0.103042693424694
3 7	0.512820512820513	0.858352416766032
1 7	0.545454545454545	0.567656468887505
5 9	0.583333333333333	0.384088249473852
1 5	0.535714285714286	0.683589706510337
2 8	0.631578947368421	0.227901431483584
1 9	0.538461538461538	0.674107715585038
8 9	0.538461538461538	0.674107715585038
2 5	0.5	1
3 8	0.565217391304348	0.506085694895788
1 8	0.518518518518518	0.836069510857366
5 8	0.647058823529412	0.204885806619062
3 6	0.666666666666667	0.495117122597215
6 8	0.6	0.516412268396038
6 9	0.714285714285714	0.441587402404516
2 6	0.545454545454545	0.756438219723926
1 6	0.555555555555556	1
4 5	0.571428571428571	1
5 6	0.571428571428571	1
4 7	0.5	1
1 4	0.5	1
3 4	0.5	1
4 8	1	1
4 6	0.5	1
"scc analysis runtime"	"1.350861 secs"	"R"
7	0.503937007874016	0.883229663226339
2	0.541666666666667	0.376759117811582
9	0.553191489361702	0.404362891983722
6	0.5	1
1 2	0.767441860465116	7.53410274360942e-05
3 7	0.510416666666667	0.777123746357262
2 8	0.542372881355932	0.438183864532645
2 3	0.52	0.743971478075057
2 7	0.533333333333333	0.611452986953504
3 9	0.564102564102564	0.372200371731374
2 5	0.522727272727273	0.732806712142033
8 9	0.538461538461538	0.592362513496579
5 9	0.6	0.234763662827669
7 9	0.558823529411765	0.451463968729397
1 9	0.578947368421053	0.469391549518436
3 4	0.5625	0.602167527748196
2 9	0.5	1
5 6	0.538461538461538	0.774243529987393
6 7	0.555555555555556	1
6 8	0.5	1
4 6	1	1
"scc analysis runtime"	"0.599566 secs"	"R"
10	0.571428571428571	0.0476703806561615
9	0.534883720930233	0.391462579007701
1	0.547945205479452	0.303886770241218
4	0.541666666666667	0.507800648275273
6	0.540540540540541	0.584850755597784
5	0.5625	0.602167527748196
3	0.533333333333333	0.788343396334305
1 2	0.787234042553192	6.70592106779272e-06
9 10	0.625	0.077099871743542
1 10	0.595238095238095	0.164881817368625
1 9	0.611111111111111	0.140907401798369
8 10	0.588235294117647	0.25870176105719
2 9	0.552631578947368	0.470919301159286
2 10	0.511627906976744	0.863343312303559
7 10	0.5	1
4 10	0.56	0.521245308114815
6 10	0.647058823529412	0.204885806619062
1 4	0.625	0.29714653034847
4 9	0.5625	0.602167527748196
1 5	1	0.0700413368746159
1 7	0.5	1
2 6	0.5	1
3 10	0.75	0.279016313211364
4 7	0.583333333333333	0.551515090011873
1 6	0.5	1
4 6	0.666666666666667	0.495117122597215
5 10	0.625	0.718216129533986
6 7	0.571428571428571	1
3 9	0.75	0.613505266127911
5 8	0.75	0.613505266127911
5 9	0.5	1
6 8	0.5	1
1 3	0.6	1
2 3	0.6	1
5 7	0.6	1
2 5	0.5	1
3 4	0.5	1
5 6	0.5	1
"scc analysis runtime"	"0.689142 secs"	"R"
9	0.523809523809524	0.262056242287956
7	0.511627906976744	0.65753805768143
4	0.519230769230769	0.571299621499449
8	0.513513513513513	0.769585963744515
2	0.525423728813559	0.641818163165988
5	0.604651162790698	0.121362827476848
3	0.5	1
7 9	0.541666666666667	0.257517982249063
4 9	0.527027027027027	0.557987722635521
4 7	0.553846153846154	0.290606572519545
1 2	0.705882352941177	0.00840336924861455
2 9	0.571428571428571	0.24978544354838
8 9	0.547169811320755	0.423071974869129
7 8	0.538461538461538	0.519040028515736
4 5	0.782608695652174	0.00395877445298255
5 9	0.633333333333333	0.113140008152006
4 8	0.536585365853659	0.599258323040667
2 4	0.6	0.234763662827669
5 7	0.580645161290323	0.328606752433517
6 9	0.514285714285714	0.852368818314268
3 4	0.636363636363636	0.175113854076281
1 4	0.5	1
3 7	0.538461538461538	0.674107715585038
2 5	0.714285714285714	0.0963480741890625
5 8	0.578947368421053	0.469391549518436
1 5	0.615384615384615	0.389521236502464
2 10	0.5	1
5 6	0.5	1
8 10	0.5	1
3 10	0.5	1
6 10	0.5	1
5 10	0.5	1
"scc analysis runtime"	"0.7117529 secs"	"R"
6	0.517241379310345	0.428472880442817
7	0.642857142857143	0.00302685618912937
2	0.506493506493506	0.884460419825167
1	0.523076923076923	0.650612963932754
3	0.625	0.29714653034847
4	0.5	1
9	0.6	1
1 2	0.789473684210526	7.32691218649115e-05
6 7	0.660377358490566	0.00645452539903587
2 6	0.53448275862069	0.533068827672971
1 6	0.520833333333333	0.740543958567318
7 8	0.620689655172414	0.159790786318504
2 7	0.586206896551724	0.315318179398284
1 7	0.684210526315789	0.0913929445739817
1 8	0.5	1
3 6	0.642857142857143	0.267625225164302
1 4	0.75	0.279016313211364
7 10	0.533333333333333	0.788343396334305
4 10	0.8	0.365030271838304
3 7	0.666666666666667	0.67849820229301
2 4	0.5	1
2 3	0.571428571428571	1
4 7	0.571428571428571	1
6 9	0.6	1
1 3	0.5	1
3 8	0.5	1
3 4	1	1
5 9	1	1
1 9	0.5	1
2 9	0.5	1
3 10	0.5	1
3 5	0.5	1
9 10	0.5	1
"scc analysis runtime"	"0.64641 secs"	"R"
5	0.520833333333333	0.344704222006958
7	0.527272727272727	0.393768634642993
