      0	      0	      1	2.650234	1.026252	57.071319	4.330948
      1	      0	      8	2.650234	1.659798	1.862263	1.023423
      2	      0	      9	2.650234	0.326999	3.601666	-1.561638
      3	      1	      2	1.026252	3.518477	1.214626	0.738693
      4	      1	      4	1.026252	0.000000	2.127303	0.983421
      5	      1	      5	1.026252	3.008820	3.161119	1.323988
      6	      1	      8	1.026252	1.659798	2.736197	1.231949
      7	      2	      4	3.518477	0.000000	1.131591	-0.596367
      8	      2	      5	3.518477	3.008820	3.121477	1.154650
      9	      2	      9	3.518477	0.326999	1.956589	-0.992054
     10	      3	      5	1.204617	3.008820	1.751335	1.036496
     11	      3	      6	1.204617	0.192039	4.166962	-1.298536
     12	      3	      7	1.204617	5.837482	2.642835	-1.173478
     13	      3	      8	1.204617	1.659798	1.926693	-1.219092
     14	      3	      9	1.204617	0.326999	1.745185	1.144229
     15	      5	      6	3.008820	0.192039	1.939700	-0.876480
     16	      7	      9	5.837482	0.326999	1.604854	0.779569
